# cfd_simulator aerodynamic polar
# section,NACA 0012
# mesh,Medium
# reynolds,1e+06
# freestream_speed_mps,50
# chord_m,1
# moment_reference_xc,0.25
# continued_between_points,yes
# every row is a separate Navier-Stokes solve; nothing is interpolated
# status is converged, iteration-limit or diverged
alpha_deg,cl,cd,cd_pressure,cd_friction,cm,l_over_d,separation_upper_xc,separation_lower_xc,status,iterations,continuity_residual
0.000000,-0.00079353,0.02047842,0.01202970,0.00844872,0.00010235,-0.038750,,,converged,533,9.964859e-07
2.000000,0.19527727,0.02186100,0.01352656,0.00833445,0.00194858,8.932676,,,converged,576,9.976875e-07
4.000000,0.38393617,0.02595022,0.01795718,0.00799304,0.00482346,14.795105,,,iteration-limit,4000,4.720382e-06
6.000000,0.55446433,0.03343762,0.02587022,0.00756741,0.00897195,16.582049,,,converged,916,9.995543e-07
8.000000,0.70673744,0.04403981,0.03701506,0.00702475,0.01376392,16.047694,,,converged,932,9.922339e-07
10.000000,0.82801540,0.05835250,0.05195809,0.00639441,0.01816639,14.189887,0.866418,,converged,1010,9.955363e-07
12.000000,0.90839952,0.07819762,0.07252523,0.00567239,0.01716660,11.616715,0.624519,,converged,1268,9.929059e-07
14.000000,0.93499991,0.10774188,0.10287667,0.00486520,0.00404117,8.678148,0.375502,,converged,1642,9.978116e-07
16.000000,0.91045485,0.15102736,0.14696222,0.00406515,-0.02102675,6.028410,0.198137,,converged,1766,9.937172e-07
18.000000,0.86149531,0.20858790,0.20522752,0.00336038,-0.05055975,4.130131,0.089806,,converged,1652,9.976451e-07
