# cfd_simulator aerodynamic polar
# section,NACA 0012
# mesh,Coarse
# reynolds,500
# freestream_speed_mps,50
# chord_m,1
# moment_reference_xc,0.25
# continued_between_points,yes
# every row is a separate Navier-Stokes solve; nothing is interpolated
alpha_deg,cl,cd,cd_pressure,cd_friction,cm,l_over_d,separation_upper_xc,separation_lower_xc,converged,iterations,continuity_residual
0.000000,0.00004122,0.18585067,0.05139700,0.13445367,-0.00000255,0.000222,,,no,5000,2.407869e-04
2.000000,0.11124463,0.18798277,0.05419091,0.13379187,0.00233196,0.591781,,,yes,2822,3.562708e-07
4.000000,0.22110399,0.19430455,0.06250363,0.13180091,0.00377749,1.137925,,,yes,1652,6.378837e-07
6.000000,0.32589361,0.20461328,0.07624040,0.12837288,0.00437738,1.592730,0.919055,,yes,1022,9.995010e-07
8.000000,0.42247123,0.21922357,0.09520630,0.12401727,0.00401754,1.927125,0.687312,,yes,827,9.979555e-07
10.000000,0.50832761,0.23805544,0.11891368,0.11914176,0.00255385,2.135333,0.514367,,yes,763,9.961117e-07
12.000000,0.58155738,0.26075288,0.14665451,0.11409837,-0.00005883,2.230301,0.387423,,yes,775,9.983894e-07
14.000000,0.64282069,0.28708198,0.17786801,0.10921397,-0.00404694,2.239154,0.295337,,yes,816,9.998005e-07
16.000000,0.69646397,0.31720905,0.21259068,0.10461836,-0.00983691,2.195599,0.228053,,yes,908,9.953150e-07
18.000000,0.74390939,0.35074270,0.25050664,0.10023606,-0.01716562,2.120955,0.177609,,yes,926,9.887513e-07
